book_title,author,book_details,review_rating,sentimiento_etiqueta,main_genre
"""A Problem from Hell"": America and the Age of Genocide",Samantha Power,"Former UN Ambassador Samantha Power's Pulitzer Prize-winning analysis of America's repeated failure to stop genocides around the worldIn her Pulitzer Prize-winning examination of the last century of American history, Samantha Power asks the haunting question: Why do American leaders who vow ""never again"" repeatedly fail to stop genocide? Power, a professor at the Harvard Kennedy School and the former US Ambassador to the United Nations, draws upon exclusive interviews with Washington's top policymakers, thousands of declassified documents, and her own reporting from modern killing fields to provide the answer. ""A Problem from Hell"" shows how decent Americans inside and outside government refused to get involved despite chilling warnings and tells the stories of the courageous Americans who risked their careers and lives in an effort to get the United States to act. A modern classic, ""A Problem from Hell"" has forever reshaped debates about American foreign policy.",2.3,Negativo,Nonfiction
"""Look Here, Sir, What a Curious Bird"": Searching for Ali, Alfred Russel Wallace's Faithful Companion",Paul Spencer Sochaczewski,"A GREAT MAN AND HIS UNHERALDED ASSISTANTFor some 50 years, Paul Sochaczewski has been on the trail of famous naturalist Alfred Russel Wallace and his little-known assistant Ali.The result of this quest is an imaginative “enhanced biography” of an illiterate 19th-century teenager from Borneo who helped Wallace become one of history’s most successful explorers of the natural world. This deliciously speculative book, filled with humor and touching scenes of imagined conversations, takes a hard look at “slippery truth,” and, perhaps most important, asks the question: “Is there someone in your life who has quietly helped you, perhaps without adequate recognition, on your journey?”In this innovative approach to biography, you’ll discover:• New clues that expand our knowledge of Ali’s background and career• Why writing the history of a 19th-century teenage boy from Borneo is so challenging• Details about how Ali collected some 5,000 of Wallace’s 8,050 bird specimens• Imagined conversations that explore emotions and perceptions of Wallace and Ali• How each of us has an “Ali” who has helped us along the wayWho’s your Ali? Perhaps this book might encourage to reach out to someone forgotten but who eased your path along your journey?",4.5,Positivo,Nonfiction
#Girlboss,Sophia Amoruso,"‘In the New York Times bestseller that the Washington Post called ""Lean In for misfits,"" Sophia Amoruso shares how she went from dumpster diving to founding one of the fastest-growing retailers in the world. Sophia Amoruso spent her teens hitchhiking, committing petty theft, and scrounging in dumpsters for leftover bagels. By age twenty-two she had dropped out of school, and was broke, directionless, and checking IDs in the lobby of an art school— a job she’d taken for the health insurance. It was in that lobby that Sophia decided to start selling vintage clothes on eBay. Flash forward ten years to today, and she’s the founder and executive chairman of Nasty Gal, a $250-million-plus fashion retailer with more than four hundred employees. Sophia was never a typical CEO, or a typical anything, and she’s written #GIRLBOSS for other girls like her: outsiders (and insiders) seeking a unique path to success, even when that path is windy as all hell and lined with naysayers. #GIRLBOSS proves that being successful isn’t about where you went to college or how popular you were in high school. It’s about trusting your instincts and following your gut; knowing which rules to follow and which to break; when to button up and when to let your freak flag fly.' to 'In the New York Times bestseller that the Washington Post called ""Lean In for misfits,"" Sophia Amoruso shares how she went from dumpster diving to founding one of the fastest-growing retailers in the world Sophia Amoruso spent her teens hitchhiking, committing petty theft, and scrounging in dumpsters for leftover bagels. By age twenty-two she had dropped out of school, and was broke, directionless, and checking IDs in the lobby of an art school—a job she’d taken for the health insurance. It was in that lobby that Sophia decided to start selling vintage clothes on eBay. Flash forward ten years to today, and she’s the founder and executive chairman of Nasty Gal, a $250-million-plus fashion retailer with more than four hundred employees. Sophia was never a typical CEO, or a typical anything, and she’s written #GIRLBOSS for other girls like her: outsiders (and insiders) seeking a unique path to success, even when that path is windy as all hell and lined with naysayers. #GIRLBOSS proves that being successful isn’t about where you went to college or how popular you were in high school. It’s about trusting your instincts and following your gut; knowing which rules to follow and which to break; when to button up and when to let your freak flag fly.'",2.3,Negativo,Nonfiction
'Tis,Frank McCourt,"Frank McCourt's glorious childhood memoir, Angela's Ashes, has been loved and celebrated by readers everywhere for its spirit, its wit and its profound humanity. A tale of redemption, in which storytelling itself is the source of salvation, it won the National Book Critics Circle Award, the Los Angeles Times Book Award and the Pulitzer Prize. Rarely has a book so swiftly found its place on the literary landscape.And now we have 'Tis, the story of Frank's American journey from impoverished immigrant to brilliant teacher and raconteur. Frank lands in New York at age nineteen, in the company of a priest he meets on the boat. He gets a job at the Biltmore Hotel, where he immediately encounters the vivid hierarchies of this ""classless country,"" and then is drafted into the army and is sent to Germany to train dogs and type reports. It is Frank's incomparable voice -- his uncanny humor and his astonishing ear for dialogue -- that renders these experiences spellbinding.When Frank returns to America in 1953, he works on the docks, always resisting what everyone tells him, that men and women who have dreamed and toiled for years to get to America should ""stick to their own kind"" once they arrive. Somehow, Frank knows that he should be getting an education, and though he left school at fourteen, he talks his way into New York University. There, he falls in love with the quintessential Yankee, long-legged and blonde, and tries to live his dream. But it is not until he starts to teach -- and to write -- that Frank finds his place in the world. The boy in Angela's Ashes comes of age.As Malcolm Jones said in his Newsweek review of Angela's Ashes, ""It is only the best storyteller who can so beguile his readers that he leaves them wanting more when he is done...and McCourt proves himself one of the very best."" Frank McCourt's 'Tis is one of the most eagerly awaited books of our time, and it is a masterpiece.",4.0,Neutral,Nonfiction
...And Ladies of the Club,Helen Hooven Santmyer,"A #1 New York Times bestseller--and an American classic--now in trade paperback...A groundbreaking bestseller with two and a half million copies in print, ""...And Ladies of the Club"" centers on the members of a book club and their struggles to understand themselves, each other, and the tumultuous world they live in. A true classic, it is sure to enchant, enthrall, and intrigue readers for years to come.",3.7,Positivo,Fiction
10 Minutes 38 Seconds in This Strange World,Elif Shafak,"An intensely powerful new novel from the best-selling author of The Bastard of Istanbul and Honour'In the first minute following her death, Tequila Leila's consciousness began to ebb, slowly and steadily, like a tide receding from the shore. Her brain cells, having run out of blood, were now completely deprived of oxygen. But they did not shut down. Not right away...'For Leila, each minute after her death brings a sensuous memory: the taste of spiced goat stew, sacrificed by her father to celebrate the long-awaited birth of a son; the sight of bubbling vats of lemon and sugar which the women use to wax their legs while the men attend mosque; the scent of cardamom coffee that Leila shares with a handsome student in the brothel where she works. Each memory, too, recalls the friends she made at each key moment in her life - friends who are now desperately trying to find her. . .",4.5,Positivo,Fiction
10% Happier,Dan   Harris,"After having a nationally televised panic attack, Dan Harris knew he had to make some changes. A lifelong nonbeliever, he found himself on a bizarre adventure involving a disgraced pastor, a mysterious self-help guru, and a gaggle of brain scientists. Eventually, Harris realized that the source of his problems was the very thing he always thought was his greatest asset: the incessant, insatiable voice in his head, which had propelled him through the ranks of a hypercompetitive business, but had also led him to make the profoundly stupid decisions that provoked his on-air freak-out.Eventually Harris stumbled upon an effective way to rein in that voice, something he always assumed to be either impossible or useless: meditation, a tool that research suggests can do everything from lower your blood pressure to essentially rewire your brain. ""10% Happier"" takes readers on a ride from the outer reaches of neuroscience to the inner sanctum of network news to the bizarre fringes of America's spiritual scene, and leaves them with a takeaway that could actually change their lives.",3.2,Positivo,Nonfiction
100 Bible Facts About Jesus: The Exciting way to Learn,Ginger Baum,"To your avail, I have this fascinating book here that holds unique facts about Jesus Christ. It is mightily condensed with particulars that you cannot find inside of any other book unless you read the Holy Bible. The Holy Bible is my go-to Book for everything! That is why I thoroughly researched over 500 hours within the Bible to bring you accurate and distinct facts about our Loving Lord for this particular book. It is rooted in Biblical principles, genuine truths, and values that we should all be applying to our lives daily. I am vehemently convinced that after you accomplish reading these written works, chances are, you will know more about Jesus than anyone you know! You will securely grow in Christ and add to your Christian armor with every devoted page. Everything in parenthesis has been added for your enjoyment. The Glorious details that are provided for you will build your Faith and strengthen your living soul. There’s not one thirsty life that will not have a grandiose impact of well-being and confidence about our Savior following the veracity of effects at the rewarding close of portions.",5.0,Positivo,Nonfiction
100 Fun Bible Facts: The Exciting way to Learn,Ginger Baum,"The Truth has never been so fun to learn till now! Adults and children all across the world are now remembering facts about The Holy Bible with ease. This is because they are fascinated by how they can connect in a real kind-of-way to these exciting Truths. This is a tried-and-true motivating method that gives a clear understanding, while keeping a grasp on comprehension. This is the first book of-its-kind, and it keeps the awe-inspired reader continuously interested. Every person that has the privilege to absorb this kind of Wisdom will hold onto it throughout their precious lives as it paves the way to an accurate road of Faith and strength. This carefully crafted timeless piece will help build self-confidence, self-expression, and closeness to the Lord. Readers won't be able to hold in all of the magnificent facts that they've learned and will quickly share their enthusiasm with others.",5.0,Positivo,Nonfiction
100 Selected Stories,O. Henry,This collection of 100 of O Henry's finest stories is a showcase for the sheer variety of one of America's best and best-loved short story writers The variety of the stories is amazing; O Henry is as at home describing life south of the Rio Grande as he is chronicling the activities and concerns of 'the four million' ordinary citizens who inhabited turn-of-the-century New York. They are marked by coincidence and surprise endings as well as the compassion and high humour that have made O Henry's stories popular for the last century.,3.0,Negativo,Fiction
